source_path,stem,category,cat_idx,binary_label
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents111_x264_76.npz,RoadAccidents111_x264_76,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing066_x264_79.npz,Stealing066_x264_79,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos829_x264_87.npz,Normal_Videos829_x264_87,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Assualt\Assault007_x264_121.npz,Assault007_x264_121,Assault,3,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos694_x264_1373.npz,Normal_Videos694_x264_1373,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents067_x264_75.npz,RoadAccidents067_x264_75,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery004_x264_95.npz,Robbery004_x264_95,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents130_x264_79.npz,RoadAccidents130_x264_79,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos495_x264_32.npz,Normal_Videos495_x264_32,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Vandalism\Vandalism020_x264_90.npz,Vandalism020_x264_90,Vandalism,13,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery018_x264_179.npz,Robbery018_x264_179,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents101_x264_16.npz,RoadAccidents101_x264_16,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos069_x264_56.npz,Normal_Videos069_x264_56,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing083_x264npz_282.npz,Stealing083_x264npz_282,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary042_x264_263.npz,Burglary042_x264_263,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing032_x264npz_336.npz,Stealing032_x264npz_336,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Assualt\Assault034_x264_144.npz,Assault034_x264_144,Assault,3,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos843_x264_25.npz,Normal_Videos843_x264_25,Normal_Videos,7,0
