source_path,label
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-S-Cn-IKlQw_23.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\BrvjJPYROMc_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\W3w_Pn_E7-s_220.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\3WUwmsGEozE_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0DgH-2g6Tmk_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\8DaEd5KbnnA_80.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\wwWMqxv5bpM_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\E7_4m7rS1t8_390.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\Bw_fNvTp6jg_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\l3DJ2MJ5CzY_20.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\Jtoff_VHCg8_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\9ZBR-dTCPrg_80.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\ky3NWEfOV4Y_190.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0StCxWx9dV8_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\h7-rFEczCkg_50.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\XAJN8G5gK90_240.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-b6pKB99TKg_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\p6qP4VjBT6Y_0.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-5-vmt2iKT0_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-QcXMPUNMeM_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\J8Kx1I1B5V4_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-efgThyiXWI_25.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-UGmXiQ8yiY_50.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-WFsDr9xBVo_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0Q_-akJTU-0_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\ElJFYwRtrH4_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\-DNkAalo7og_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\gjroPMQJ3M8_0.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\fFzUndjB_bU_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-cVFtuOI5uo_23.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\0XrVauCq9JU_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-jNIaWOWUFI_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\-yTHDQZL1dE_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\Aw43FUCkIb8_20.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-9Nl3LZBCOo_200.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\SoGTkgo7UX8_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\a_mdhaQPQ3w_60.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\4UCZF_UnG10_27.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\26X_s28ilYs_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\pgLfSVznfm4_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\WEWhLwX6STA_5.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\dhKZgvg9b14_50.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\uXFPcaIDdN0_0.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0Gj0gGPGlMA_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\XW1WkG6ADtQ_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-nf_tbb2ixE_60.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\fhB7j-lgPlM_80.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\scream\a2ugthH2Urk_150.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\scream\BFqHyCoypfM_16.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\11Pn3yJifSQ_4.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-L44JqysUy8_190.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0XXyOMw32z8_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\BMqxW3bs0iU_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\bublmh2Nm-M_100.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-AswFDuOptQ_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-lUCohWH9xg_29.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\SEHxfje9Eio_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\-GDC7PuqdOM_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-H5kC4WsuI8_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\3ERj8It26dk_10.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-pnursBn7wk_240.0.wav,0
