epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.947,1.69332,2.6201,1.58847,0.34364,0.39063,0.27941,0.1058,1.7084,18.2943,1.4792,0.000554778,0.000554778,0.000554778
2,393.739,1.77775,2.07992,1.63662,0.41083,0.35588,0.33211,0.14128,1.62431,10.6254,1.44173,0.00108846,0.00108846,0.00108846
3,583.661,1.76723,1.98516,1.61913,0.48116,0.37656,0.36534,0.16645,1.57406,4.2477,1.39234,0.00160013,0.00160013,0.00160013
4,773.326,1.73967,1.9175,1.58607,0.49402,0.4167,0.41119,0.18284,1.52291,6.09381,1.35831,0.00156798,0.00156798,0.00156798
5,963.093,1.68873,1.80769,1.55761,0.46432,0.41154,0.37821,0.16528,1.57399,5.32823,1.37103,0.00153497,0.00153497,0.00153497
6,1152.62,1.66487,1.76874,1.53308,0.49301,0.44628,0.4518,0.20514,1.49397,3.28702,1.30821,0.00150197,0.00150197,0.00150197
7,1341.72,1.63956,1.71833,1.52774,0.50512,0.46138,0.44613,0.21064,1.4791,5.15827,1.31067,0.00146896,0.00146896,0.00146896
8,1530.71,1.61358,1.66866,1.50992,0.53965,0.46843,0.48907,0.23802,1.39842,7.4979,1.26694,0.00143595,0.00143595,0.00143595
9,1719.77,1.59549,1.62967,1.48764,0.56805,0.48584,0.50933,0.25089,1.4186,3.42679,1.29588,0.00140295,0.00140295,0.00140295
10,1908.98,1.5796,1.59772,1.47685,0.57483,0.5218,0.5437,0.2683,1.42476,4.37116,1.27023,0.00136994,0.00136994,0.00136994
11,2097.85,1.56995,1.57759,1.4715,0.55958,0.53223,0.53886,0.26997,1.38792,3.52628,1.23927,0.00133693,0.00133693,0.00133693
12,2287.75,1.54744,1.54626,1.46171,0.61823,0.55154,0.59516,0.30493,1.35543,3.4095,1.21147,0.00130393,0.00130393,0.00130393
13,2492.08,1.54475,1.51605,1.4492,0.5889,0.5409,0.56357,0.28644,1.3672,3.30447,1.2171,0.00127092,0.00127092,0.00127092
14,2870.77,1.54075,1.51052,1.44921,0.55102,0.51108,0.52635,0.26767,1.37351,4.02903,1.24715,0.00123791,0.00123791,0.00123791
15,3060.17,1.51005,1.44912,1.42433,0.61257,0.5698,0.60232,0.30817,1.33744,2.85204,1.1991,0.00120491,0.00120491,0.00120491
16,3248.67,1.50602,1.43208,1.42955,0.62147,0.54196,0.59263,0.30392,1.33557,1.90599,1.19775,0.0011719,0.0011719,0.0011719
17,3437.77,1.49656,1.42872,1.41523,0.61541,0.56419,0.60325,0.31633,1.33867,3.40912,1.20938,0.00113889,0.00113889,0.00113889
18,3627.59,1.49592,1.4108,1.40786,0.61976,0.5842,0.61633,0.328,1.29523,2.9803,1.18072,0.00110589,0.00110589,0.00110589
19,3816.94,1.46744,1.36846,1.39921,0.64186,0.57492,0.62198,0.32578,1.32565,1.84431,1.19301,0.00107288,0.00107288,0.00107288
20,4006.38,1.46554,1.37809,1.40081,0.6082,0.58262,0.62054,0.32531,1.32864,2.05843,1.19843,0.00103987,0.00103987,0.00103987
21,4197.79,1.45996,1.35166,1.38523,0.62122,0.59834,0.63376,0.33872,1.29217,2.89962,1.17033,0.00100687,0.00100687,0.00100687
22,4387.02,1.43829,1.31837,1.37993,0.65259,0.59721,0.65067,0.3447,1.30559,2.13334,1.18514,0.000973861,0.000973861,0.000973861
23,4577.47,1.44202,1.3198,1.38372,0.67802,0.59922,0.66826,0.35361,1.28859,2.01622,1.16238,0.000940855,0.000940855,0.000940855
24,4768.02,1.43913,1.3135,1.38003,0.6423,0.59851,0.64817,0.3441,1.29007,1.67362,1.17175,0.000907848,0.000907848,0.000907848
25,4960.14,1.4159,1.28671,1.37369,0.6455,0.61669,0.66303,0.3557,1.26869,2.95937,1.16607,0.000874842,0.000874842,0.000874842
26,5150.65,1.41616,1.26791,1.35673,0.65528,0.61751,0.66336,0.35819,1.2567,1.88954,1.14726,0.000841835,0.000841835,0.000841835
27,5340,1.41292,1.2567,1.35755,0.64877,0.63421,0.67569,0.36416,1.25358,1.85321,1.14465,0.000808828,0.000808828,0.000808828
28,5529.89,1.39127,1.21623,1.34201,0.67648,0.62194,0.67307,0.36897,1.24132,1.84235,1.14226,0.000775822,0.000775822,0.000775822
29,5719.7,1.39208,1.21908,1.34344,0.6672,0.62527,0.68392,0.37529,1.24071,1.81691,1.13918,0.000742815,0.000742815,0.000742815
30,5908.7,1.39172,1.21864,1.34916,0.68594,0.62837,0.68287,0.3706,1.25518,1.81596,1.15522,0.000709809,0.000709809,0.000709809
31,6097.11,1.37386,1.19616,1.33245,0.6834,0.6296,0.68973,0.3738,1.24441,1.80467,1.14693,0.000676802,0.000676802,0.000676802
32,6286.51,1.36891,1.17282,1.33045,0.66957,0.63675,0.68542,0.37501,1.24403,1.70123,1.14513,0.000643795,0.000643795,0.000643795
33,6475.02,1.36499,1.17606,1.33422,0.68271,0.63674,0.69613,0.38137,1.24553,1.73533,1.14073,0.000610789,0.000610789,0.000610789
34,6663.81,1.34911,1.16804,1.31822,0.6873,0.63659,0.69602,0.38608,1.23141,1.75749,1.12692,0.000577782,0.000577782,0.000577782
35,6852.63,1.34511,1.14644,1.31353,0.6952,0.64805,0.70322,0.38808,1.2302,1.47535,1.12873,0.000544776,0.000544776,0.000544776
36,7041.6,1.33455,1.12217,1.30688,0.69106,0.64113,0.70147,0.39027,1.21604,1.55308,1.12029,0.000511769,0.000511769,0.000511769
37,7230.35,1.33161,1.11341,1.30208,0.70022,0.65392,0.71221,0.39317,1.22062,1.32645,1.12129,0.000478762,0.000478762,0.000478762
38,7419.58,1.323,1.11491,1.30244,0.69669,0.65942,0.71364,0.39834,1.21325,1.46351,1.11495,0.000445756,0.000445756,0.000445756
39,7608.69,1.30678,1.09024,1.29013,0.69654,0.65936,0.71318,0.39485,1.22274,1.43525,1.12466,0.000412749,0.000412749,0.000412749
40,7797.65,1.30094,1.07049,1.28426,0.69368,0.66415,0.71213,0.39647,1.22802,1.45843,1.12503,0.000379743,0.000379743,0.000379743
41,7975.15,1.34352,1.04231,1.31499,0.70432,0.64797,0.70906,0.39351,1.22312,1.35795,1.1232,0.000346736,0.000346736,0.000346736
42,8153.14,1.324,1.00622,1.30354,0.72954,0.64173,0.71413,0.39493,1.22901,1.32309,1.12551,0.000313729,0.000313729,0.000313729
43,8330.09,1.31309,0.98614,1.29737,0.71994,0.65352,0.71976,0.39752,1.23588,1.2436,1.13055,0.000280723,0.000280723,0.000280723
44,8507.17,1.30169,0.96927,1.29136,0.72418,0.65662,0.71841,0.39852,1.22785,1.18678,1.13252,0.000247716,0.000247716,0.000247716
45,8684.21,1.28621,0.95885,1.28301,0.72502,0.66017,0.72225,0.40123,1.22488,1.25059,1.13224,0.00021471,0.00021471,0.00021471
46,8861.46,1.28115,0.93928,1.27741,0.72775,0.65865,0.71906,0.40272,1.22144,1.29613,1.1301,0.000181703,0.000181703,0.000181703
47,9038.61,1.27592,0.93013,1.26937,0.73468,0.65669,0.71902,0.40239,1.22433,1.22508,1.12953,0.000148696,0.000148696,0.000148696
48,9215.76,1.26809,0.91865,1.2632,0.73537,0.65974,0.71856,0.40281,1.22191,1.21122,1.12826,0.00011569,0.00011569,0.00011569
49,9393.78,1.24927,0.91375,1.25469,0.72587,0.66792,0.71922,0.40225,1.22307,1.18668,1.12684,8.26832e-05,8.26832e-05,8.26832e-05
50,9571.58,1.24067,0.90056,1.25087,0.72585,0.66361,0.71845,0.40312,1.22085,1.17242,1.12788,4.96766e-05,4.96766e-05,4.96766e-05
