epoch,train_loss,train_acc,val_acc,val_macro_f1,lr,seconds
1,0.39913521187037837,0.8424744897959183,0.7816793893129771,0.780533295357715,9.890738003669029e-05,319.5173087120056
2,0.2554451759676544,0.936734693877551,0.8045801526717558,0.8039769893259735,9.567727288213005e-05,144.46887683868408
3,0.21150647115950683,0.9614158163265306,0.8104325699745547,0.8099254263150306,9.045084971874738e-05,271.0884599685669
4,0.18629771008783458,0.9751913265306122,0.8292620865139949,0.8283337713365447,8.345653031794292e-05,431.0873577594757
5,0.1753846211396918,0.9798469387755102,0.8055979643765904,0.8046897055605527,7.500000000000001e-05,178.57619214057922
6,0.16963314490050685,0.982079081632653,0.8244274809160306,0.8239531258399182,6.545084971874738e-05,135.12828660011292
7,0.1593443239525873,0.988265306122449,0.8305343511450382,0.8299620422797084,5.522642316338269e-05,134.3198003768921
8,0.15267148312865472,0.9905612244897959,0.8290076335877863,0.8283016704075494,4.4773576836617344e-05,135.37903714179993
9,0.14766292952153148,0.9929846938775511,0.8310432569974555,0.830143700127266,3.454915028125264e-05,134.62076115608215
10,0.14545322281061387,0.9927295918367347,0.8241730279898218,0.8235948104084148,2.5000000000000018e-05,134.93009090423584
11,0.1409093173486846,0.9943877551020408,0.821882951653944,0.820987198014318,1.654346968205711e-05,134.63984298706055
12,0.13781802509816327,0.9964923469387755,0.827735368956743,0.8271987698334065,9.549150281252635e-06,136.37169337272644
13,0.13683404767391633,0.996938775510204,0.8325699745547074,0.8318896921156647,4.322727117869952e-06,135.3773956298828
14,0.13540279212958958,0.9973852040816327,0.8282442748091603,0.8277571405224482,1.092619963309716e-06,135.84902691841125
15,0.13516992922036014,0.9974489795918368,0.8259541984732824,0.8250915300450448,0.0,135.07971358299255
