source_path,label
G:\Capstone\data\violence_data\fight\rwf_train_fight_aIg9Yb0O7Hg_5_00.jpg,1
G:\Capstone\data\violence_data\fight\rwf_train_fight_videoplayback (2)_66_06.jpg,1
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_UIsigi4O-sI_1_00.jpg,0
G:\Capstone\data\violence_data\fight\rwf_train_fight_umOs1WLBkuo_1_06.jpg,1
G:\Capstone\data\violence_data\nofight\surv_ds6_nofight_nofi144_00.jpg,0
G:\Capstone\data\violence_data\nofight\surv_ds6_nofight_nofi011_08.jpg,0
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_rjHXmq47_0_05.jpg,0
G:\Capstone\data\violence_data\fight\rwf_train_fight_FZDDNtcaBcw_0_05.jpg,1
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_s-jW4cyavW0_1_00.jpg,0
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_CPGf41PN_0_00.jpg,0
G:\Capstone\data\violence_data\fight\rwf_train_fight_OTVE3eLAuUM_1_05.jpg,1
G:\Capstone\data\violence_data\fight\rwf_train_fight_vBwKQfJYG1Q_5_02.jpg,1
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_2gkuUVq1_0_05.jpg,0
G:\Capstone\data\violence_data\fight\rwf_train_fight_pKOUG5AqLpY_1_07.jpg,1
G:\Capstone\data\violence_data\fight\rwf_train_fight_gJDvtfRrM7k_0_06.jpg,1
G:\Capstone\data\violence_data\fight\surv_ds6_fight_fi069_05.jpg,1
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_o8sEvktx_0_05.jpg,0
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_9N4HikpX_0_05.jpg,0
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_WXwfibYX_0_08.jpg,0
G:\Capstone\data\violence_data\fight\rwf_val_fight_83d-16REC40_1_03.jpg,1
G:\Capstone\data\violence_data\fight\rwf_train_fight_tILABXoHE7s_2_01.jpg,1
G:\Capstone\data\violence_data\fight\rwf_train_fight_bqZo64e6_1_00.jpg,1
G:\Capstone\data\violence_data\fight\rwf_train_fight_iquSbj5Wqj0_0_03.jpg,1
G:\Capstone\data\violence_data\fight\rwf_val_fight_48J5lk4QcpE_3_00.jpg,1
G:\Capstone\data\violence_data\nofight\surv_ds6_nofight_nofi087_07.jpg,0
G:\Capstone\data\violence_data\nofight\rwf_train_nofight_La9lzohO_0_07.jpg,0
G:\Capstone\data\violence_data\nofight\surv_ds6_nofight_nofi020_02.jpg,0
G:\Capstone\data\violence_data\fight\surv_ds6_fight_fi105_08.jpg,1
