epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.708,1.46075,2.73398,1.63377,0.3938,0.36734,0.32476,0.15476,1.7711,2.56272,1.97614,0.000475272,0.000475272,0.000475272
2,250.68,1.53468,2.22031,1.69927,0.2911,0.34854,0.25164,0.10762,1.90206,2.6313,2.06914,0.000932764,0.000932764,0.000932764
3,369.445,1.56964,2.13031,1.73198,0.51615,0.40228,0.38865,0.19112,1.87412,2.29529,2.0899,0.00137139,0.00137139,0.00137139
4,487.484,1.51937,1.97136,1.69021,0.56277,0.46456,0.49305,0.23743,1.75292,1.89537,1.99568,0.00134412,0.00134412,0.00134412
5,605.544,1.48807,1.89979,1.67393,0.53192,0.49652,0.45137,0.21954,1.68396,1.84731,1.89517,0.00131582,0.00131582,0.00131582
6,723.952,1.43057,1.77632,1.6218,0.65391,0.5074,0.58343,0.31737,1.65743,1.67985,1.87177,0.00128753,0.00128753,0.00128753
7,842.191,1.3975,1.66396,1.5945,0.69693,0.56585,0.65129,0.35194,1.5838,1.5805,1.82151,0.00125923,0.00125923,0.00125923
8,960.841,1.37672,1.61912,1.57136,0.71511,0.61236,0.67969,0.37926,1.53595,1.56834,1.75222,0.00123094,0.00123094,0.00123094
9,1079.12,1.34697,1.54132,1.54934,0.74305,0.6156,0.68983,0.40374,1.51364,1.39946,1.75727,0.00120265,0.00120265,0.00120265
10,1196.95,1.32855,1.49281,1.52573,0.69515,0.65521,0.71071,0.4213,1.47691,1.34019,1.72736,0.00117435,0.00117435,0.00117435
11,1315.63,1.32157,1.43811,1.52094,0.78676,0.65512,0.74203,0.44073,1.46691,1.29245,1.68188,0.00114606,0.00114606,0.00114606
12,1433.86,1.28433,1.39284,1.49536,0.77787,0.65918,0.74264,0.43967,1.45021,1.26625,1.64651,0.00111776,0.00111776,0.00111776
13,1551.87,1.27183,1.36592,1.47954,0.79161,0.68255,0.75757,0.46305,1.42924,1.18969,1.64717,0.00108947,0.00108947,0.00108947
14,1671.57,1.2677,1.32618,1.4782,0.79485,0.69922,0.77338,0.46849,1.4321,1.17027,1.64285,0.00106118,0.00106118,0.00106118
15,1790.18,1.25438,1.30749,1.46672,0.80332,0.67053,0.76492,0.45992,1.41948,1.17065,1.6491,0.00103288,0.00103288,0.00103288
16,1908.02,1.23687,1.26435,1.45333,0.8186,0.72106,0.79243,0.49851,1.36964,1.09213,1.58387,0.00100459,0.00100459,0.00100459
17,2026.43,1.23657,1.26306,1.45291,0.76026,0.70592,0.77339,0.46898,1.41921,1.12708,1.63993,0.000976293,0.000976293,0.000976293
18,2144.69,1.21552,1.20205,1.42996,0.82985,0.7051,0.8069,0.50154,1.37402,1.0567,1.58587,0.000947999,0.000947999,0.000947999
19,2262.59,1.21694,1.22159,1.43086,0.85894,0.72932,0.82093,0.50583,1.37224,1.01915,1.59016,0.000919704,0.000919704,0.000919704
20,2380.79,1.19803,1.18789,1.41902,0.82961,0.72487,0.80891,0.5112,1.33188,1.02016,1.54892,0.00089141,0.00089141,0.00089141
21,2498.82,1.1844,1.14428,1.40722,0.84055,0.73187,0.81559,0.52037,1.3168,1.00477,1.53945,0.000863116,0.000863116,0.000863116
22,2616.62,1.17536,1.13622,1.39657,0.8372,0.756,0.83285,0.52987,1.3097,0.95934,1.5196,0.000834822,0.000834822,0.000834822
23,2735.63,1.16948,1.12115,1.39797,0.8591,0.73909,0.83978,0.53629,1.30334,0.95191,1.51503,0.000806528,0.000806528,0.000806528
24,2853.89,1.16113,1.09007,1.39301,0.85328,0.75445,0.84165,0.54159,1.31459,0.93176,1.52403,0.000778233,0.000778233,0.000778233
25,2971.81,1.15698,1.0985,1.38876,0.85158,0.77371,0.85523,0.54616,1.29824,0.9059,1.50891,0.000749939,0.000749939,0.000749939
26,3090.07,1.14823,1.06857,1.37275,0.85385,0.76193,0.85013,0.55398,1.2793,0.90501,1.49429,0.000721645,0.000721645,0.000721645
27,3208.13,1.14166,1.05461,1.3731,0.85289,0.78822,0.86352,0.56022,1.29574,0.86871,1.49679,0.000693351,0.000693351,0.000693351
28,3326.17,1.12709,1.0353,1.36178,0.85839,0.78326,0.86203,0.56038,1.27726,0.85303,1.47326,0.000665057,0.000665057,0.000665057
29,3444.32,1.12563,1.01361,1.35706,0.87212,0.78927,0.86687,0.56583,1.27904,0.86272,1.48597,0.000636762,0.000636762,0.000636762
30,3562.74,1.11264,1.00096,1.35163,0.8643,0.79485,0.86596,0.55652,1.28232,0.85104,1.49195,0.000608468,0.000608468,0.000608468
31,3680.83,1.10747,0.98844,1.3423,0.86065,0.79516,0.86957,0.57251,1.25654,0.84403,1.47259,0.000580174,0.000580174,0.000580174
32,3798.83,1.09566,0.97258,1.3437,0.87427,0.80394,0.8817,0.57341,1.26918,0.82315,1.47282,0.00055188,0.00055188,0.00055188
33,3917.58,1.11297,0.97153,1.33991,0.86276,0.81869,0.87783,0.57532,1.28067,0.82288,1.47539,0.000523586,0.000523586,0.000523586
34,4036.15,1.08857,0.94397,1.32934,0.87382,0.81867,0.88043,0.57954,1.2475,0.79173,1.45379,0.000495291,0.000495291,0.000495291
35,4154.86,1.07996,0.9228,1.31973,0.89531,0.82122,0.89446,0.59071,1.24473,0.7722,1.44982,0.000466997,0.000466997,0.000466997
36,4273.08,1.07466,0.91178,1.31288,0.89901,0.82197,0.88772,0.59123,1.23621,0.78093,1.44501,0.000438703,0.000438703,0.000438703
37,4390.9,1.07596,0.91171,1.31568,0.90222,0.81927,0.89296,0.59361,1.23317,0.7685,1.43601,0.000410409,0.000410409,0.000410409
38,4509.59,1.05841,0.88795,1.30859,0.89792,0.8235,0.89171,0.59363,1.24523,0.76032,1.44463,0.000382115,0.000382115,0.000382115
39,4627.6,1.047,0.87771,1.30218,0.88836,0.81967,0.88963,0.58679,1.23465,0.76366,1.44264,0.00035382,0.00035382,0.00035382
40,4745.5,1.04696,0.8766,1.29476,0.90109,0.82511,0.89234,0.5927,1.23858,0.7622,1.43746,0.000325526,0.000325526,0.000325526
41,4855.66,1.05053,0.6902,1.31776,0.89361,0.82322,0.89501,0.6016,1.23081,0.75184,1.42892,0.000297232,0.000297232,0.000297232
42,4965.91,1.02509,0.67471,1.30867,0.89254,0.83578,0.89999,0.60638,1.22098,0.74174,1.43167,0.000268938,0.000268938,0.000268938
43,5075.62,1.00682,0.64195,1.28321,0.90229,0.83923,0.90508,0.60973,1.21404,0.7272,1.42311,0.000240644,0.000240644,0.000240644
44,5185.19,0.98537,0.62906,1.27216,0.90169,0.83417,0.89819,0.60704,1.21668,0.73471,1.42209,0.000212349,0.000212349,0.000212349
45,5295.32,0.98218,0.61108,1.26411,0.90986,0.83931,0.90298,0.60929,1.20858,0.71116,1.41529,0.000184055,0.000184055,0.000184055
46,5405.18,0.97943,0.60321,1.26509,0.9088,0.84446,0.905,0.60948,1.20581,0.71065,1.41686,0.000155761,0.000155761,0.000155761
47,5515.07,0.96105,0.59282,1.24837,0.90459,0.84558,0.90442,0.61216,1.20916,0.705,1.41805,0.000127467,0.000127467,0.000127467
48,5625.54,0.95957,0.58201,1.24567,0.92571,0.84532,0.9077,0.61404,1.20574,0.70239,1.41613,9.91726e-05,9.91726e-05,9.91726e-05
49,5735.51,0.94375,0.56729,1.23571,0.91627,0.84722,0.90779,0.61231,1.20022,0.69549,1.40962,7.08784e-05,7.08784e-05,7.08784e-05
50,5844.99,0.9376,0.56375,1.23513,0.91468,0.85138,0.90823,0.61546,1.20087,0.69175,1.41204,4.25842e-05,4.25842e-05,4.25842e-05
